"effectsize_measure","effectsize_measure_unified","specifiers","of_interest"
"Invalid Input",NA,NA,"not_relevant"
"Machine Comprehension",NA,NA,"not_relevant"
"Younger",NA,NA,"not_relevant"
"Older",NA,NA,"not_relevant"
"Chi-square (χ²)",NA,NA,"not_relevant"
"β coefficient",NA,NA,"not_relevant"
"Support",NA,NA,"not_relevant"
"Lift",NA,NA,"not_relevant"
"β (Length, week)",NA,NA,"not_relevant"
"β (Length, day)",NA,NA,"not_relevant"
"β (Commitment upload)",NA,NA,"not_relevant"
"β (Commitment word count)",NA,NA,"not_relevant"
"β (Commitment character count)",NA,NA,"not_relevant"
"β (Commitment average word length)",NA,NA,"not_relevant"
"β (Referee)",NA,NA,"not_relevant"
"β (Supporter)",NA,NA,"not_relevant"
"β (Photo upload)",NA,NA,"not_relevant"
"β (Post upload)",NA,NA,"not_relevant"
"β (Post word count)",NA,NA,"not_relevant"
"β (Post character count)",NA,NA,"not_relevant"
"β (Post average word length)",NA,NA,"not_relevant"
"β (Total stake)",NA,NA,"not_relevant"
"β (Stake per period)",NA,NA,"not_relevant"
"β (Recipient: Charity)",NA,NA,"not_relevant"
"β (Recipient: Anti-charity)",NA,NA,"not_relevant"
"β (Recipient: Friend)",NA,NA,"not_relevant"
"Accuracy (MLP, WN)",NA,NA,"not_relevant"
"Accuracy (MLP, AN)",NA,NA,"not_relevant"
"Accuracy (MLP, HN)",NA,NA,"not_relevant"
"Accuracy (MLP, BN)",NA,NA,"not_relevant"
"Accuracy (RNN, WN)",NA,NA,"not_relevant"
"Accuracy (RNN, AN)",NA,NA,"not_relevant"
"Accuracy (RNN, HN)",NA,NA,"not_relevant"
"Accuracy (RNN, BN)",NA,NA,"not_relevant"
"Partial Eta Squared ($\eta_p^2$)","eta_squared","partial","yes"
"Median Learning Time",NA,NA,"not_relevant"
"Median Recall Time",NA,NA,"not_relevant"
"Number of Participants",NA,NA,"not_relevant"
"Selection Time",NA,NA,"not_relevant"
"Crossings",NA,NA,"not_relevant"
"Votes",NA,NA,"not_relevant"
"Average Score",NA,NA,"not_relevant"
"log($)",NA,NA,"not_relevant"
"τ","kendalls_tau","","yes"
"β (Intercept)",NA,NA,"not_relevant"
"β (Age)",NA,NA,"not_relevant"
"β (Gender[Male])",NA,NA,"not_relevant"
"β (Race[Black or African American])",NA,NA,"not_relevant"
"β (Race[Hispanic or Latino/a/x])",NA,NA,"not_relevant"
"β (Race[White])",NA,NA,"not_relevant"
"β (Daily Browsing Length[less than 1 hr])",NA,NA,"not_relevant"
"β (Daily Browsing Length[less than 2 hrs])",NA,NA,"not_relevant"
"β (Daily Browsing Length[greater than 2 hrs])",NA,NA,"not_relevant"
"β (Need for Self-Reflection)",NA,NA,"not_relevant"
"β (Insight)",NA,NA,"not_relevant"
"β (Day)",NA,NA,"not_relevant"
"β (# of Users Available on the Day)",NA,NA,"not_relevant"
"ICC(1, k)",NA,NA,"not_relevant"
"Regression Coefficient for Empathy",NA,NA,"not_relevant"
"Regression Coefficient for Credibility",NA,NA,"not_relevant"
"Regression Coefficient for Justice",NA,NA,"not_relevant"
"Regression Coefficient for Impact",NA,NA,"not_relevant"
"Regression Coefficient for Attractiveness",NA,NA,"not_relevant"
"Precision (Mean ± SD)",NA,NA,"not_relevant"
"Recall (Mean ± SD)",NA,NA,"not_relevant"
"F1 (Mean ± SD)",NA,NA,"not_relevant"
"β (variables)",NA,NA,"not_relevant"
"β (lists)",NA,NA,"not_relevant"
"MRTR",NA,NA,"not_relevant"
"NDCG",NA,NA,"not_relevant"
"F1 Score (Not Call)",NA,NA,"not_relevant"
"F1 Score (Call)",NA,NA,"not_relevant"
"F1 Score (Weighted Avg)",NA,NA,"not_relevant"
"W (Kendall's W)",NA,NA,"not_relevant"
"Average Precision",NA,NA,"not_relevant"
"R^2 (POM)","r_squared","","yes"
"R^2 (Acrylic)","r_squared","","yes"
"R^2 (PLA)","r_squared","","yes"
"R^2 (FEA)","r_squared","","yes"
"f-statistic",NA,NA,"not_relevant"
"z-score",NA,NA,"not_relevant"
"%ΔR (Single-Button Controller)",NA,NA,"not_relevant"
"%ΔR (Volume Controller)",NA,NA,"not_relevant"
"%ΔR (Media Control Buttons)",NA,NA,"not_relevant"
"Regression Coefficients (a, b, c', c, ab)",NA,NA,"not_relevant"
"lines of code",NA,NA,"not_relevant"
"OR (Odds Ratio)","odds_ratio","","yes"
"Partial eta squared (η²)","eta_squared","partial","yes"
"Mean (Task Completion Time)",NA,NA,"not_relevant"
"Mean (Mental Demand)",NA,NA,"not_relevant"
"Mean (Physical Burden)",NA,NA,"not_relevant"
"Mean (Duration)",NA,NA,"not_relevant"
"Mean (Satisfaction)",NA,NA,"not_relevant"
"Mean (Satisfaction Q1)",NA,NA,"not_relevant"
"Mean (Satisfaction Q3)",NA,NA,"not_relevant"
"Mean (Satisfaction Q4)",NA,NA,"not_relevant"
"Mean (Satisfaction Q5)",NA,NA,"not_relevant"
"Mean (NASA-TLX Q5)",NA,NA,"not_relevant"
"Mean (NASA-TLX Q6)",NA,NA,"not_relevant"
"Target Prediction Rate",NA,NA,"not_relevant"
"Max Prior Ratio",NA,NA,"not_relevant"
"Number of User Commands",NA,NA,"not_relevant"
"Iterations",NA,NA,"not_relevant"
"IG > 0 Iterations",NA,NA,"not_relevant"
"Proportion (Target in View)",NA,NA,"not_relevant"
"Mean (View Size)",NA,NA,"not_relevant"
"Mean (IG)",NA,NA,"not_relevant"
"Partial eta-squared ($\eta_p^2$)","eta_squared","partial","yes"
"Partial eta squared","eta_squared","partial","yes"
"b (Extraverted vs Average)",NA,NA,"not_relevant"
"b (Introverted vs Average)",NA,NA,"not_relevant"
"Wilks' Λ",NA,NA,"not_relevant"
"Median (Pre-video)",NA,NA,"not_relevant"
"Median (Post-video)",NA,NA,"not_relevant"
"\hat{\eta }^2_G","eta_squared","generalized","yes"
"Mean Salience",NA,NA,"not_relevant"
"Mean Trust Change",NA,NA,"not_relevant"
"Partial Eta Squared ($\eta^2_p$)","eta_squared","partial","yes"
"Z-score",NA,NA,"not_relevant"
"Wilk's λ",NA,NA,"not_relevant"
"Partial Eta Squared (η²ₚ)","eta_squared","partial","yes"
"Percentage Decrease",NA,NA,"not_relevant"
"WEAT Score (GloVe)",NA,NA,"not_relevant"
"WEAT Score (GloVe Google News)",NA,NA,"not_relevant"
"WEAT Score (GloVe*)",NA,NA,"not_relevant"
"Average Power Draw (mW)",NA,NA,"not_relevant"
"Mean Score",NA,NA,"not_relevant"
"Medium (Ref: AR)",NA,NA,"not_relevant"
"Role (Ref: perceiver)",NA,NA,"not_relevant"
"Disc (Ref: non-self-disclosure)",NA,NA,"not_relevant"
"Intimacy",NA,NA,"not_relevant"
"Medium x Role",NA,NA,"not_relevant"
"Medium x Intimacy",NA,NA,"not_relevant"
"Role x Intimacy",NA,NA,"not_relevant"
"Medium x Disc",NA,NA,"not_relevant"
"Role x Disc",NA,NA,"not_relevant"
"Disc x Intimacy",NA,NA,"not_relevant"
"TCRave",NA,NA,"not_relevant"
"TCRstd",NA,NA,"not_relevant"
"DVEave",NA,NA,"not_relevant"
"DVEstd",NA,NA,"not_relevant"
"Average Similarity Score",NA,NA,"not_relevant"
"N",NA,NA,"not_relevant"
"KS Statistic (D)",NA,NA,"not_relevant"
"Failure % for Unique ImageButtons",NA,NA,"not_relevant"
"Failure % for Unique ImageViews",NA,NA,"not_relevant"
"Failure % for Combined Unique Image-Based Elements",NA,NA,"not_relevant"
"RBC",NA,NA,"not_relevant"
"eta_p^2","eta_squared","partial","yes"
"Difference in mean percentage",NA,NA,"not_relevant"
"Difference in mean duration",NA,NA,"not_relevant"
"Difference in mean time",NA,NA,"not_relevant"
"Difference in mean scores",NA,NA,"not_relevant"
"Not provided",NA,NA,"not_relevant"
"Percentage Change",NA,NA,"not_relevant"
"Higher in C2",NA,NA,"not_relevant"
"Higher in C1",NA,NA,"not_relevant"
"Decrease in C1, Increase in C2",NA,NA,"not_relevant"
"Increase in both, more in C2",NA,NA,"not_relevant"
"Decrease in both, more in C1",NA,NA,"not_relevant"
"Increase in C1, Decrease in C2",NA,NA,"not_relevant"
"Increase in both, more in C1",NA,NA,"not_relevant"
"Correlation coefficient (ρ)","spearmans_rho","","yes"
"AUROC",NA,NA,"not_relevant"
"Mean (C1)",NA,NA,"not_relevant"
"Mean (C2)",NA,NA,"not_relevant"
"Overall Mean",NA,NA,"not_relevant"
"H statistic",NA,NA,"not_relevant"
"Median (Dr.XAI)",NA,NA,"not_relevant"
"Median (Dr.AI)",NA,NA,"not_relevant"
"R^2_m","r_squared","","yes"
"R^2_c","r_squared","","yes"
"deltaR2",NA,NA,"not_relevant"
"Mean (Direct Author)",NA,NA,"not_relevant"
"Mean (Citation)",NA,NA,"not_relevant"
"Mean (All Authors' h-index)",NA,NA,"not_relevant"
"Mean (Clicked Authors' h-index)",NA,NA,"not_relevant"
"Mean (High h-index)",NA,NA,"not_relevant"
"Mean (Low h-index)",NA,NA,"not_relevant"
"Mean (Unknown h-index)",NA,NA,"not_relevant"
"Coefficient (Intercept)",NA,NA,"not_relevant"
"Standard Error (SE)",NA,NA,"not_relevant"
"Coefficient (% Featured)",NA,NA,"not_relevant"
"Coefficient (% Featured^2)",NA,NA,"not_relevant"
"Coefficient (# of Total Papers)",NA,NA,"not_relevant"
"Coefficient (Claimed Profile)",NA,NA,"not_relevant"
"Coefficient (Receiver h-index)",NA,NA,"not_relevant"
"Coefficient (% Featured × Claimed Profile)",NA,NA,"not_relevant"
"Coefficient (% Featured^2 × Claimed Profile)",NA,NA,"not_relevant"
"Coefficient (% Featured × Receiver h-index)",NA,NA,"not_relevant"
"Coefficient (% Featured^2 × Receiver h-index)",NA,NA,"not_relevant"
"Coefficient (Early Exposure)",NA,NA,"not_relevant"
"Coefficient (Message (Citation))",NA,NA,"not_relevant"
"Coefficient (Interaction)",NA,NA,"not_relevant"
"Coefficient (Message (Direct Author))",NA,NA,"not_relevant"
"Diff.",NA,NA,"not_relevant"
"AVG",NA,NA,"not_relevant"
"Coefficient (Constant)",NA,NA,"not_relevant"
"Coefficient (Speaker’s Eyes)",NA,NA,"not_relevant"
"Coefficient (Speakers’ Name)",NA,NA,"not_relevant"
"Coefficient (Speakers’ Title)",NA,NA,"not_relevant"
"Coefficient (Discussion Topic/Current News)",NA,NA,"not_relevant"
"Coefficient (Logo of the channel)",NA,NA,"not_relevant"
"Coefficient (Over the shoulder text)",NA,NA,"not_relevant"
"Coefficient (Scrolling News)",NA,NA,"not_relevant"
"Coefficient (Current Time and Temperature)",NA,NA,"not_relevant"
"Coefficient (Speakers’ Social Network Handle)",NA,NA,"not_relevant"
"Coefficient (Speakers’ Mouth)",NA,NA,"not_relevant"
"Coefficient (Weather Map)",NA,NA,"not_relevant"
"Coefficient (Listeners’ Face)",NA,NA,"not_relevant"
"Coefficient (Speakers’ Location)",NA,NA,"not_relevant"
"Coefficient (Listeners’ Location)",NA,NA,"not_relevant"
"Coefficient (Program Title)",NA,NA,"not_relevant"
"Coefficient (Score)",NA,NA,"not_relevant"
"Coefficient (Player)",NA,NA,"not_relevant"
"Coefficient (Timer)",NA,NA,"not_relevant"
"Coefficient (Quarter)",NA,NA,"not_relevant"
"Coefficient (Players’ Stat)",NA,NA,"not_relevant"
"Coefficient (ASL signers’ face)",NA,NA,"not_relevant"
"Coefficient (ASL signers’ hand)",NA,NA,"not_relevant"
"Mean (M) before",NA,NA,"not_relevant"
"Standard Deviation (SD) before",NA,NA,"not_relevant"
"Mean (M) after",NA,NA,"not_relevant"
"Standard Deviation (SD) after",NA,NA,"not_relevant"
"TER (%)",NA,NA,"not_relevant"
"FT (ms)",NA,NA,"not_relevant"
"HT (ms)",NA,NA,"not_relevant"
"Sugg",NA,NA,"not_relevant"
"AutoC",NA,NA,"not_relevant"
"Privacy",NA,NA,"not_relevant"
"Effort",NA,NA,"not_relevant"
"Acceptance Q1",NA,NA,"not_relevant"
"Coin Collection Time (CCT)",NA,NA,"not_relevant"
"Coin Offset",NA,NA,"not_relevant"
"Number of Teleportations",NA,NA,"not_relevant"
"VRS Range",NA,NA,"not_relevant"
"IPQ General Presence (GP)",NA,NA,"not_relevant"
"IPQ Spatial Presence (SP)",NA,NA,"not_relevant"
"IPQ Involvement (INV)",NA,NA,"not_relevant"
"IPQ Experienced Realism (ER)",NA,NA,"not_relevant"
"Intuitivity",NA,NA,"not_relevant"
"Orientation",NA,NA,"not_relevant"
"Frequency of Use",NA,NA,"not_relevant"
"Speed of Finding",NA,NA,"not_relevant"
"Fatigue",NA,NA,"not_relevant"
"Chi-squared test statistic",NA,NA,"not_relevant"
"Inter-rater reliability",NA,NA,"not_relevant"
"Average rating (abstract)",NA,NA,"not_relevant"
"Average rating (figurative)",NA,NA,"not_relevant"
"Average rating (Western)",NA,NA,"not_relevant"
"Average rating (Non-Western)",NA,NA,"not_relevant"
"Average rating (premodern)",NA,NA,"not_relevant"
"Average rating (modern)",NA,NA,"not_relevant"
"Average rating (digital)",NA,NA,"not_relevant"
"Average rating (abstract-abstract)",NA,NA,"not_relevant"
"Average rating (abstract-concrete)",NA,NA,"not_relevant"
"Average rating (figurative-abstract)",NA,NA,"not_relevant"
"Average rating (figurative-concrete)",NA,NA,"not_relevant"
"Position Error MPJPE (m)",NA,NA,"not_relevant"
"Rotation Error MPJRE (rad)",NA,NA,"not_relevant"
"Difference of medians",NA,NA,"not_relevant"
"MedAE",NA,NA,"not_relevant"
"IQR",NA,NA,"not_relevant"
"Least Squares Mean Difference",NA,NA,"not_relevant"
"Preference Count",NA,NA,"not_relevant"
"Reposting percentage for super-topic",NA,NA,"not_relevant"
"Reposting percentage for regular posting",NA,NA,"not_relevant"
"Type",NA,NA,"not_relevant"
"FF",NA,NA,"not_relevant"
"FF, FSz, FSt, FW",NA,NA,"not_relevant"
"P",NA,NA,"not_relevant"
"BW, M, P, W",NA,NA,"not_relevant"
"C",NA,NA,"not_relevant"
"BgC, C, FSt, O, TD",NA,NA,"not_relevant"
"BR",NA,NA,"not_relevant"
"BC, BR, C, FSz, W",NA,NA,"not_relevant"
"FSz",NA,NA,"not_relevant"
"BR, BW, H, P, W",NA,NA,"not_relevant"
"BW",NA,NA,"not_relevant"
"BC, BR, BW, C, W",NA,NA,"not_relevant"
"TA",NA,NA,"not_relevant"
"H, M, P, W",NA,NA,"not_relevant"
"BR, H, M, P",NA,NA,"not_relevant"
"BW, C, H, P, W",NA,NA,"not_relevant"
"BW, H, M, P, W",NA,NA,"not_relevant"
"AUCmicro",NA,NA,"not_relevant"
"AUCmacro",NA,NA,"not_relevant"
"IT_est (bits)",NA,NA,"not_relevant"
"Error rate",NA,NA,"not_relevant"
"Weighted score",NA,NA,"not_relevant"
"Mean Acceptability",NA,NA,"not_relevant"
"Not at all Accepting",NA,NA,"not_relevant"
"Somewhat Accepting",NA,NA,"not_relevant"
"Moderately Accepting",NA,NA,"not_relevant"
"Very Accepting",NA,NA,"not_relevant"
"Extremely Accepting",NA,NA,"not_relevant"
"F-Statistic",NA,NA,"not_relevant"
"β (Is Female)",NA,NA,"not_relevant"
"β (Friend count)",NA,NA,"not_relevant"
"β (Account tenure)",NA,NA,"not_relevant"
"β (Perceived time spent)",NA,NA,"not_relevant"
"β (Beliefs about FB)",NA,NA,"not_relevant"
"β (Beliefs about FB X time spent)",NA,NA,"not_relevant"
"β (Actual time spent)",NA,NA,"not_relevant"
"β (Time spent)",NA,NA,"not_relevant"
"β (Time spent source: Perceived time)",NA,NA,"not_relevant"
"β (Beliefs about FB X Time spent)",NA,NA,"not_relevant"
"β (Beliefs about FB X Source (Perceived time))",NA,NA,"not_relevant"
"β (Time spent X Source (Perceived time))",NA,NA,"not_relevant"
"β (Beliefs about FB X Time spent X Source (Perceived time))",NA,NA,"not_relevant"
"β (Overestimation of time spent)",NA,NA,"not_relevant"
"β (Subjective well-being)",NA,NA,"not_relevant"
"β (Beliefs about FB X Actual time spent)",NA,NA,"not_relevant"
"β (Priming effect on well-being)",NA,NA,"not_relevant"
"eta-squared (η²[H])","eta_squared","","yes"
"eta-squared (η²)","eta_squared","","yes"
"Character accuracy",NA,NA,"not_relevant"
"Word accuracy",NA,NA,"not_relevant"
"Character accuracy (seated)",NA,NA,"not_relevant"
"Word accuracy (seated)",NA,NA,"not_relevant"
"Character accuracy (walking)",NA,NA,"not_relevant"
"Word accuracy (walking)",NA,NA,"not_relevant"
"Speed (WPM) Session 1",NA,NA,"not_relevant"
"Speed (WPM) Session 2",NA,NA,"not_relevant"
"Speed (WPM) Session 3",NA,NA,"not_relevant"
"Accuracy (%) Session 1",NA,NA,"not_relevant"
"Accuracy (%) Session 2",NA,NA,"not_relevant"
"Accuracy (%) Session 3",NA,NA,"not_relevant"
"Median search-time",NA,NA,"not_relevant"
"BF_excl",NA,NA,"not_relevant"
"BF_10",NA,NA,"not_relevant"
"ε² (epsilon squared)","epsilon_square","","yes"
"ω² (omega squared)","omega","","yes"
"Transition Probabilities",NA,NA,"not_relevant"
"Emission Probabilities",NA,NA,"not_relevant"
"Pearson Residuals",NA,NA,"not_relevant"
"Proportion difference",NA,NA,"not_relevant"
"Median difference",NA,NA,"not_relevant"
"Words Per Minute (WPM)",NA,NA,"not_relevant"
"Character Error Rate (CER)",NA,NA,"not_relevant"
"Count of Errors",NA,NA,"not_relevant"
"Percentage of Agreement",NA,NA,"not_relevant"
"Coverage Percentage",NA,NA,"not_relevant"
"Time in seconds",NA,NA,"not_relevant"
"Kendall's τ","kendalls_tau","","yes"
"Outcome",NA,NA,"not_relevant"
"F-statistic (F)",NA,NA,"not_relevant"
"G2",NA,NA,"not_relevant"
"x2",NA,NA,"not_relevant"
"Path Coefficient",NA,NA,"not_relevant"
"Chi-Square Statistic",NA,NA,"not_relevant"
"H Statistic",NA,NA,"not_relevant"
"t Statistic",NA,NA,"not_relevant"
"Recognition Rate",NA,NA,"not_relevant"
"Accuracy (Window-level)",NA,NA,"not_relevant"
"F1 Score (Window-level)",NA,NA,"not_relevant"
"False Positive Rate (Window-level)",NA,NA,"not_relevant"
"Accuracy (Gesture-level)",NA,NA,"not_relevant"
"F1 Score (Gesture-level)",NA,NA,"not_relevant"
"False Positive Count per Hour (Gesture-level)",NA,NA,"not_relevant"
"False Positive Rate (Non-gestures)",NA,NA,"not_relevant"
"False Positive Count per Hour (Non-gestures)",NA,NA,"not_relevant"
"McFadden's pseudo R^2",NA,NA,"no"
"Δ Adj. R^2","r_squared","adjusted","yes"
"Δ Adjusted R^2","r_squared","adjusted","yes"
"Explained Variance",NA,NA,"not_relevant"
"α",NA,NA,"not_relevant"
"UEQ Pragmatic",NA,NA,"not_relevant"
"UEQ Hedonic",NA,NA,"not_relevant"
"UEQ Reliability Pragmatic",NA,NA,"not_relevant"
"UEQ Reliability Hedonic",NA,NA,"not_relevant"
"UEQ Reliability Overall",NA,NA,"not_relevant"
"% Variance explained",NA,NA,"not_relevant"
"Pragmatic",NA,NA,"not_relevant"
"Hedonic",NA,NA,"not_relevant"
"CLES",NA,NA,"not_relevant"
"$\u03b6_m^1$",NA,NA,"no"
"$\u03b6_m^2$",NA,NA,"no"
"$\u03b6_m^3$",NA,NA,"no"
"$\u03b6_m^4$",NA,NA,"no"
"$\u03b6_m^5$",NA,NA,"no"
"$\u03b6_m^6$",NA,NA,"no"
"Totally disagreed",NA,NA,"not_relevant"
"Disagreed",NA,NA,"not_relevant"
"Agreed",NA,NA,"not_relevant"
"Totally agreed",NA,NA,"not_relevant"
"Excessmass",NA,NA,"not_relevant"
"No visualisation",NA,NA,"not_relevant"
"Relational",NA,NA,"not_relevant"
"Absolute",NA,NA,"not_relevant"
"Condition (Relational)",NA,NA,"not_relevant"
"Condition (Absolute)",NA,NA,"not_relevant"
"Task (Repositioning)",NA,NA,"not_relevant"
"Task (Including)",NA,NA,"not_relevant"
"Task (Providing)",NA,NA,"not_relevant"
"Number of interactions",NA,NA,"not_relevant"
"Time spent",NA,NA,"not_relevant"
"Zone size",NA,NA,"not_relevant"
"Gender (male)",NA,NA,"not_relevant"
"Age",NA,NA,"not_relevant"
"Condition (Relational) : Task (Repositioning)",NA,NA,"not_relevant"
"Condition (Absolute) : Task (Repositioning)",NA,NA,"not_relevant"
"Condition (Relational) : Task (Including)",NA,NA,"not_relevant"
"Condition (Absolute) : Task (Including)",NA,NA,"not_relevant"
"Condition (Relational) : Task (Providing)",NA,NA,"not_relevant"
"Condition (Absolute) : Task (Providing)",NA,NA,"not_relevant"
"Suggestion Count (95% CI)",NA,NA,"not_relevant"
"Attempt Count (95% CI)",NA,NA,"not_relevant"
"JND",NA,NA,"not_relevant"
"Lower Bound (t1)",NA,NA,"not_relevant"
"Upper Bound (t2)",NA,NA,"not_relevant"
"Mean Time",NA,NA,"not_relevant"
"η²g","eta_squared","generalized","yes"
"γ",NA,NA,"not_relevant"
"Tjur's R2",NA,NA,"no"
"Mean AI Score",NA,NA,"not_relevant"
"Mean Interpersonal Emphasis Rating",NA,NA,"not_relevant"
"Beta (Age)",NA,NA,"not_relevant"
"Beta (Gender)",NA,NA,"not_relevant"
"Beta (Ethnicity)",NA,NA,"not_relevant"
"Beta (Interpersonal Emphasis)",NA,NA,"not_relevant"
"Beta (Condition)",NA,NA,"not_relevant"
"Beta (Interpersonal Emphasis * Condition)",NA,NA,"not_relevant"
"Beta (Subject Expertise)",NA,NA,"not_relevant"
"Beta (Propensity to Trust)",NA,NA,"not_relevant"
"Beta (Computer Attitude)",NA,NA,"not_relevant"
"Beta (AI Attitude)",NA,NA,"not_relevant"
"Cliff's delta (d)",NA,NA,"not_relevant"
"Mean Normalized Task Completion Time (PathFinder, Route 1)",NA,NA,"not_relevant"
"Mean Normalized Task Completion Time (Topline, Route 1)",NA,NA,"not_relevant"
"Mean Normalized Task Completion Time (PathFinder, Route 2)",NA,NA,"not_relevant"
"Mean Normalized Task Completion Time (Topline, Route 2)",NA,NA,"not_relevant"
"Median Usability Score (Q4)",NA,NA,"not_relevant"
"Median Usability Score (Q5)",NA,NA,"not_relevant"
"Median Usability Score (Q6)",NA,NA,"not_relevant"
"Median Usability Score (Q7)",NA,NA,"not_relevant"
"Median Usability Score (Q8)",NA,NA,"not_relevant"
"Controllability Preference",NA,NA,"not_relevant"
"False Positive Intersection Detections",NA,NA,"not_relevant"
"Correct Intersection Detections",NA,NA,"not_relevant"
"Partially Correct Intersection Detections",NA,NA,"not_relevant"
"Failed Intersection Detections",NA,NA,"not_relevant"
"Battery Life",NA,NA,"not_relevant"
"ATS",NA,NA,"not_relevant"
"PSE",NA,NA,"not_relevant"
"Exploration Time",NA,NA,"not_relevant"
"Difficulty Estimation",NA,NA,"not_relevant"
"Relative effect",NA,NA,"not_relevant"
"WER",NA,NA,"not_relevant"
"BLEU",NA,NA,"not_relevant"
"Correct Rate",NA,NA,"not_relevant"
"Incorrect Rate",NA,NA,"not_relevant"
"Relative Error (Vector Charts)",NA,NA,"not_relevant"
"Relative Error (Rasterized Charts)",NA,NA,"not_relevant"
"Missing Rate",NA,NA,"not_relevant"
"Unwanted Rate",NA,NA,"not_relevant"
"Relative Error (Raster Charts)",NA,NA,"not_relevant"
"Spearman r","spearmans_rho","","yes"
"Posterior Mean",NA,NA,"not_relevant"
"Mean Difference D",NA,NA,"not_relevant"
"R² (Strange Brigade)","r_squared","","yes"
"R² (Valorant)","r_squared","","yes"
"R² (Rocket League)","r_squared","","yes"
"Acceptable Fraction (QoE 4-5)",NA,NA,"not_relevant"
"Acceptable Fraction (QoE 3)",NA,NA,"not_relevant"
"Median number of courses",NA,NA,"not_relevant"
"Mean number of courses",NA,NA,"not_relevant"
"Standard deviation of number of courses",NA,NA,"not_relevant"
"Median total hours",NA,NA,"not_relevant"
"Mean total hours",NA,NA,"not_relevant"
"Standard deviation of total hours",NA,NA,"not_relevant"
"Median GPA gain (Γs)",NA,NA,"not_relevant"
"Mean GPA gain (Γs)",NA,NA,"not_relevant"
"Standard deviation of GPA gain (Γs)",NA,NA,"not_relevant"
"Perceived Accessibility",NA,NA,"not_relevant"
"Legibility and Cognitive Load",NA,NA,"not_relevant"
"Speech Accessibility Metrics",NA,NA,"not_relevant"
"Identification Duration",NA,NA,"not_relevant"
"Information Transfer (IT)",NA,NA,"not_relevant"
"Number of Patterns Identified",NA,NA,"not_relevant"
"Coefficient for Total words",NA,NA,"not_relevant"
"Coefficient for (M) words ratio",NA,NA,"not_relevant"
"Coefficient for (L) self disclosure",NA,NA,"not_relevant"
"Coefficient for (M) self disclosure",NA,NA,"not_relevant"
"Coefficient for Median response time",NA,NA,"not_relevant"
"Coefficient for Linguistic style matching",NA,NA,"not_relevant"
"Coefficient for Topic matching",NA,NA,"not_relevant"
"Coefficient for (M) age",NA,NA,"not_relevant"
"Coefficient for (M) avg. hearts given",NA,NA,"not_relevant"
"Coefficient for (M) avg. hearts received",NA,NA,"not_relevant"
"Coefficient for (M) # of past conversations",NA,NA,"not_relevant"
"Coefficient for (M) # of forum upvotes given",NA,NA,"not_relevant"
"Coefficient for (M) Prior mood",NA,NA,"not_relevant"
"Coefficient for (L) age",NA,NA,"not_relevant"
"Coefficient for (L) avg. hearts received",NA,NA,"not_relevant"
"Coefficient for (L) # of past conversations",NA,NA,"not_relevant"
"Coefficient for (L) badge count",NA,NA,"not_relevant"
"Coefficient for (L) # of forum upvotes given",NA,NA,"not_relevant"
"Coefficient for Romantic Relationship",NA,NA,"not_relevant"
"Coefficient for Dating",NA,NA,"not_relevant"
"Coefficient for Pandemic",NA,NA,"not_relevant"
"Coefficient for Self-improvement",NA,NA,"not_relevant"
"Coefficient for Suicide",NA,NA,"not_relevant"
"Coefficient for Depression",NA,NA,"not_relevant"
"Coefficient for Parents",NA,NA,"not_relevant"
"Coefficient for Anxiety",NA,NA,"not_relevant"
"Coefficient for Family",NA,NA,"not_relevant"
"Coefficient for Stress",NA,NA,"not_relevant"
"Coefficient for Lonely",NA,NA,"not_relevant"
"Coefficient for Overwhelming",NA,NA,"not_relevant"
"Coefficient for Sexuality",NA,NA,"not_relevant"
"Coefficient for LGBTQ",NA,NA,"not_relevant"
"Coefficient for Intimacy",NA,NA,"not_relevant"
"Coefficient for Home",NA,NA,"not_relevant"
"Coefficient for Dissociate Identity",NA,NA,"not_relevant"
"Coefficient for Health",NA,NA,"not_relevant"
"Compression Force",NA,NA,"not_relevant"
"Beta Coefficient",NA,NA,"not_relevant"
"Matched rank biserial correlation","rank_biserial_r","","maybe"
"diff (s)",NA,NA,"not_relevant"
"diff",NA,NA,"not_relevant"
"Cognitive Involvement",NA,NA,"not_relevant"
"Emotional Involvement",NA,NA,"not_relevant"
"Real-World Dissociation",NA,NA,"not_relevant"
"Challenge",NA,NA,"not_relevant"
"F(58, 341)",NA,NA,"not_relevant"
"H(7)",NA,NA,"not_relevant"
"Difference (ms)",NA,NA,"not_relevant"
"Difference (%)",NA,NA,"not_relevant"
"Meaningful differences",NA,NA,"not_relevant"
"Difference (mm)",NA,NA,"not_relevant"
"CoV (spatial)",NA,NA,"not_relevant"
"CoV (temporal)",NA,NA,"not_relevant"
"Endpoint Error (spatial, tangent axis)",NA,NA,"not_relevant"
"Endpoint Error (spatial, normal axis)",NA,NA,"not_relevant"
"Endpoint Error (temporal)",NA,NA,"not_relevant"
"Success Rate Error (spatial)",NA,NA,"not_relevant"
"Success Rate Error (temporal)",NA,NA,"not_relevant"
"R² (spatial)","r_squared","","yes"
"R² (temporal)","r_squared","","yes"
"Standardized Coefficient (β)",NA,NA,"not_relevant"
"Median SRHI charging scores",NA,NA,"not_relevant"
"β_home",NA,NA,"not_relevant"
"β_work",NA,NA,"not_relevant"
"β_public",NA,NA,"not_relevant"
"Median percentage of miles driven on electricity",NA,NA,"not_relevant"
